Date,Open,High,Low,Close,Volume
2010-01-04,289.6032,289.6032,281.1452,281.4835,1026000
2010-01-05,283.5134,284.1901,275.3937,276.4087,1670000
2010-01-06,277.4236,281.8218,275.732,275.732,1728000
2010-01-07,276.0704,278.1003,271.3339,271.3339,1411000
2010-01-08,271.3339,273.0255,267.6123,268.9656,1433000
2010-01-11,269.9806,272.6872,269.3039,269.9806,1197000
2010-01-12,271.3339,273.3638,270.319,272.0106,676000
2010-01-13,271.3338,274.7171,269.9806,270.6572,914000
2010-01-14,272.6871,278.7769,270.6572,277.4236,1811000
2010-01-15,279.4536,285.5434,278.777,282.1602,3310000
2010-01-18,280.8068,289.6032,280.1302,287.5733,2169000
2010-01-19,287.5732,287.5732,275.3937,275.3937,2428000
2010-01-20,277.4237,281.4835,277.0854,279.7919,1487000
2010-01-21,279.7919,279.7919,276.0704,276.747,805000
2010-01-22,275.3937,275.3937,269.6422,273.0255,1196000
2010-01-25,271.3339,278.7769,271.3339,276.4087,1083000
2010-01-26,274.7171,279.1152,263.8908,264.5674,1769000
2010-01-27,265.9208,271.6723,262.5376,270.319,1419000
2010-01-28,272.0105,284.1901,272.0105,282.1602,2377000
2010-01-29,278.777,284.8668,275.3938,282.1602,1495000
2010-02-01,282.8368,285.5433,273.3638,275.732,885000
2010-02-02,278.777,281.1452,272.0105,279.4536,975000
2010-02-03,284.1901,290.9565,282.1602,288.25,3355000
2010-02-04,288.2499,297.3846,288.2499,290.9565,2407000
2010-02-05,283.1752,287.9117,275.3938,279.4536,2023000
2010-02-08,278.7769,280.4685,274.0404,278.7769,1127000
2010-02-09,277.4237,280.1302,274.0404,276.747,1217000
2010-02-10,278.1003,285.5434,278.1003,280.1303,1041000
2010-02-22,284.8667,284.8667,280.4686,283.5135,708000
2010-02-23,283.8517,290.6181,281.4835,290.6181,1036000
2010-02-24,289.6033,289.9416,284.8668,284.8668,745000
2010-02-25,286.22,288.5883,282.8368,283.1751,912000
2010-02-26,283.1751,286.8967,274.3788,279.7919,994000
