Date,Open,High,Low,Close,Volume
2010-01-04,9.9353,9.9353,9.6838,9.7886,37178159
2010-01-05,9.8515,9.9353,9.6629,9.6629,49992832
2010-01-06,9.7048,9.8934,9.6838,9.8725,50509669
2010-01-07,9.8725,9.9773,9.7048,9.7048,87012267
2010-01-08,9.8096,9.8934,9.6209,9.8096,39913198
2010-01-11,9.8096,9.9144,9.7886,9.8305,38272175
2010-01-12,9.8934,9.9982,9.7467,9.8515,41813951
2010-01-13,9.6838,9.7467,9.6,9.6,41676216
2010-01-14,9.6419,9.7257,9.6,9.6419,21662554
2010-01-15,9.7257,9.8515,9.7257,9.7467,29550222
2010-01-18,9.6419,9.7257,9.579,9.6,23117306
2010-01-19,9.6419,9.7048,9.3904,9.4952,37841914
2010-01-20,9.5581,9.5581,9.2017,9.2227,47169904
2010-01-21,9.1179,9.2646,8.8873,9.0131,84842601
2010-01-22,8.8454,8.9083,8.7406,8.7825,72868773
2010-01-25,8.7196,8.8454,8.6777,8.7196,32379708
2010-01-26,8.7196,8.7825,8.4262,8.4262,64049749
2010-01-27,8.4681,8.5519,8.3843,8.3843,25199084
2010-01-28,8.7196,8.7196,8.4681,8.51,44617202
2010-01-29,8.4052,8.5519,8.3214,8.5519,40603188
2010-02-01,8.5729,8.5729,8.0489,8.0489,87896400
2010-02-02,8.1747,8.1747,7.8393,7.9231,44206618
2010-02-03,8.0908,8.3633,8.0489,8.3423,44850697
2010-02-04,8.3843,8.4262,8.2795,8.4262,33413382
2010-02-05,8.1747,8.2166,7.8812,8.0279,65398248
2010-02-08,7.965,8.007,7.8393,7.8812,21137847
2010-02-09,7.9231,8.0279,7.7974,7.9441,37691061
2010-02-10,8.0908,8.1327,8.007,8.0698,35754890
2010-02-22,8.2585,8.4262,8.1956,8.3214,38796882
2010-02-23,8.3004,8.3423,8.1956,8.2585,29467581
2010-02-24,8.1537,8.2166,8.0698,8.0698,36148421
2010-02-25,8.0908,8.1327,7.8602,7.8812,42934202
2010-02-26,7.9231,8.007,7.5249,7.6297,104591285
2010-03-01,7.6506,7.965,7.5668,7.9022,104599156
2010-03-02,7.965,8.0279,7.8602,8.0279,45677111
2010-03-03,8.0279,8.2585,8.0279,8.2585,62991152
2010-03-04,8.3004,8.3004,7.965,8.0279,44251218
2010-03-05,8.1118,8.2375,8.1118,8.2166,32803409
2010-03-08,8.3004,8.3004,8.1956,8.2585,30917085
2010-03-09,8.2585,8.3004,8.1956,8.3004,27598310
2010-03-10,8.3633,8.3633,8.2375,8.2585,32148837
2010-03-11,8.3214,8.3214,8.0698,8.0908,34795987
2010-03-12,8.0908,8.1327,8.0489,8.0908,15246692
2010-03-15,8.0908,8.0908,7.8812,7.8812,28987473
2010-03-16,7.8812,8.0908,7.8812,8.007,10092751
2010-03-17,8.1118,8.3633,8.1118,8.3633,70289835
2010-03-18,8.3843,8.5939,8.3843,8.51,67112730
2010-03-19,8.5519,8.5519,8.4052,8.4681,26293099
2010-03-22,8.4262,8.4262,8.2375,8.2585,24555005
2010-03-23,8.2585,8.3004,8.1747,8.1956,29537104
2010-03-24,8.2585,8.2795,8.0908,8.0908,41622433
2010-03-25,8.0908,8.1327,8.007,8.1118,40481194
2010-03-26,8.0698,8.1747,7.986,8.1747,33847578
2010-03-29,8.1747,8.2375,8.0908,8.1537,40124393
2010-03-30,8.1956,8.2585,8.1327,8.1956,53033512
