Date,Open,High,Low,Close,Volume
2010-01-04,6.2544,6.2544,6.1472,6.2187,6896274
2010-01-05,6.2187,6.3617,6.183,6.2544,8188661
2010-01-06,6.3617,6.3617,6.183,6.2544,4233132
2010-01-07,6.2544,6.3081,6.183,6.183,5897430
2010-01-08,6.183,6.3438,6.1651,6.2723,5680925
2010-01-11,6.2187,6.4153,6.2008,6.3617,5900086
2010-01-12,6.3617,6.4153,6.183,6.2008,5164236
2010-01-13,6.1472,6.2008,6.1472,6.2008,2621965
2010-01-14,6.2008,6.3438,6.2008,6.3081,4064445
2010-01-15,6.3974,6.4153,6.3081,6.3795,4478859
2010-01-18,6.2544,6.4153,6.2544,6.3795,2082696
2010-01-19,6.3795,6.3974,6.2723,6.2902,3984750
2010-01-20,6.3617,6.3795,6.2187,6.2544,2955356
2010-01-21,6.2366,6.2544,6.1472,6.183,2540942
2010-01-22,6.0757,6.1115,5.897,5.897,4318140
2010-01-25,5.772,5.9507,5.772,5.897,2467888
2010-01-26,5.9328,5.9328,5.486,5.5218,6796655
2010-01-27,5.5039,5.629,5.5039,5.5397,4229148
2010-01-28,5.5397,5.7005,5.5397,5.5754,2643217
2010-01-29,5.5754,5.7183,5.5218,5.7183,4407133
2010-02-01,5.7183,5.7362,5.5397,5.5754,2910195
2010-02-02,5.6469,5.6826,5.5397,5.6469,3361800
2010-02-03,5.6647,5.7183,5.5754,5.6826,1876817
2010-02-04,5.6826,5.6826,5.5754,5.6111,1457090
2010-02-05,5.5397,5.5754,5.3967,5.3967,3230304
2010-02-08,5.3788,5.4503,5.3252,5.3788,3104120
2010-02-09,5.3788,5.4682,5.3252,5.4682,2145123
2010-02-10,5.5575,5.5575,5.4146,5.5039,2177001
2010-02-22,5.5754,5.8256,5.5218,5.7183,3838642
2010-02-23,5.8256,5.8792,5.6826,5.7541,3209052
2010-02-24,5.7184,5.8256,5.6826,5.7898,3684565
2010-02-25,5.7898,5.8613,5.6826,5.7362,2999188
2010-02-26,5.7362,5.8077,5.6469,5.8077,2042848
2010-03-01,5.8613,5.9328,5.7898,5.8077,3242258
2010-03-02,5.897,5.9507,5.8077,5.9507,2328422
2010-03-03,5.9864,6.1294,5.9864,6.0579,3082868
2010-03-04,6.0579,6.2544,6.04,6.1472,6920182
2010-03-05,6.2366,6.2723,6.1651,6.2008,4085697
2010-03-08,6.2544,6.3081,6.1115,6.2187,3456106
2010-03-09,6.2187,6.2723,6.1472,6.2544,4068429
2010-03-10,6.2544,6.2544,6.0757,6.183,3256869
2010-03-11,6.183,6.183,6.0757,6.0757,1218005
2010-03-12,6.0757,6.183,6.0757,6.1472,1555380
2010-03-15,6.0757,6.1294,6.0579,6.0579,1016111
2010-03-16,6.04,6.2544,6.04,6.1294,1206051
2010-03-17,6.1115,6.2544,6.1115,6.2366,3284762
2010-03-18,6.2366,6.2544,6.1472,6.2187,1838298
2010-03-19,6.2187,6.2187,6.1651,6.2187,1082523
2010-03-22,6.183,6.2187,6.0757,6.1472,1325593
2010-03-23,6.1472,6.1472,6.0757,6.0936,1358799
2010-03-24,6.1651,6.183,6.1115,6.1651,1143623
2010-03-25,6.1651,6.2008,6.04,6.183,2091993
2010-03-26,6.1294,6.2902,6.0757,6.2187,3623466
2010-03-29,6.2544,6.3081,6.1651,6.2544,3705817
2010-03-30,6.2902,6.3617,6.2008,6.3617,3098807
2010-03-31,6.3259,6.3795,6.3081,6.3795,3335235
2010-04-01,6.3795,6.4331,6.2902,6.3795,4356660
2010-04-02,6.3795,6.4331,6.3795,6.4153,1923306
2010-04-06,6.4331,6.5761,6.4153,6.5046,5728742
2010-04-07,6.5404,6.5404,6.3974,6.4689,2459919
2010-04-08,6.4331,6.5404,6.3617,6.4331,2135826
2010-04-09,6.4331,6.5046,6.4153,6.5046,2319124
2010-04-12,6.5404,6.5761,6.4689,6.5761,2239429
2010-04-13,6.5582,6.5761,6.4868,6.5582,2117230
2010-04-14,6.5582,6.5582,6.4868,6.5404,759759
2010-04-15,6.594,6.8441,6.5046,6.8263,10040241
2010-04-16,6.862,6.9692,6.6476,6.7369,8426418
2010-04-19,6.6118,6.6655,6.2723,6.2723,7232321
2010-04-20,6.3259,6.3617,6.183,6.183,3497282
2010-04-21,6.2902,6.451,6.2544,6.451,3805436
2010-04-22,6.4331,6.451,6.3081,6.451,2660484
2010-04-23,6.5225,6.6118,6.5046,6.5404,3748321
2010-04-26,6.6118,6.8084,6.6118,6.7012,4211880
2010-04-27,6.7369,6.7548,6.6476,6.7191,2295216
2010-04-28,6.451,6.7012,6.451,6.6297,3097479
2010-04-29,6.7905,6.7905,6.6118,6.6655,2013627
2010-04-30,6.7905,7.0765,6.7191,6.9871,15784923
2010-05-03,6.9871,6.9871,6.7191,6.8084,3509236
2010-05-04,6.7548,6.8263,6.6476,6.6833,4652859
2010-05-05,6.4868,6.5761,6.4331,6.5046,5591932
2010-05-06,6.451,6.4868,6.3259,6.3438,3897085
2010-05-07,6.2366,6.4153,6.0936,6.2723,7103481
2010-05-10,6.3795,6.451,6.3081,6.3617,2186299
2010-05-11,6.4331,6.4331,6.1472,6.1472,4902570
2010-05-12,6.2902,6.5404,6.2366,6.3795,4692707
2010-05-13,6.5225,6.594,6.4331,6.5582,3774886
2010-05-14,6.5582,6.8441,6.5582,6.7727,5606543
2010-05-17,6.7369,6.8084,6.5582,6.5761,7390383
2010-05-18,6.5761,6.7191,6.5761,6.6476,2053474
2010-05-19,6.6476,6.7727,6.5582,6.7727,2673767
2010-05-20,6.7727,6.7727,6.5761,6.5761,3333907
2010-05-21,6.4331,6.4331,6.2902,6.2902,3238273
2010-05-24,6.3259,6.3617,6.2723,6.2723,2420071
2010-05-25,6.2187,6.2187,6.0757,6.1115,2776042
2010-05-26,6.1472,6.2187,6.0043,6.0043,6109950
2010-05-27,6.04,6.0757,5.9864,6.0757,3671283
2010-05-28,6.1472,6.3617,6.0936,6.2544,5229320
2010-05-31,6.2544,6.3438,6.183,6.3438,2013627
2010-06-01,6.2723,6.2723,6.1472,6.1651,2134497
2010-06-02,6.1115,6.2366,6.04,6.0757,1589915
2010-06-03,6.2187,6.3081,6.1651,6.3081,2691034
2010-06-04,6.3081,6.3259,6.2544,6.2544,920477
2010-06-07,6.0757,6.1115,6.0221,6.0757,1455762
2010-06-08,6.0757,6.1472,6.0579,6.0936,858049
2010-06-09,6.0757,6.1294,6.0043,6.0043,2088009
2010-06-10,6.2902,6.2902,6.0757,6.1115,891255
2010-06-11,6.2544,6.2902,6.1472,6.2723,2362956
2010-06-14,6.2902,6.3795,6.2723,6.3617,1915336
2010-06-15,6.4331,6.7191,6.2902,6.6118,5081884
2010-06-17,6.7191,6.7369,6.6118,6.7191,4222506
2010-06-18,6.7012,6.7369,6.5404,6.7191,2862378
2010-06-21,6.7905,7.1837,6.7905,7.1837,14371665
2010-06-22,7.1837,7.5411,7.1479,7.416,20816334
2010-06-23,7.416,7.684,7.2909,7.2909,16981676
2010-06-24,7.2909,7.3624,7.2015,7.2015,3982093
2010-06-25,7.1301,7.2015,6.9692,6.9871,6119247
2010-06-28,7.0765,7.3266,7.0407,7.2373,10054852
2010-06-29,7.2552,7.3266,6.8441,6.9514,7107465
2010-06-30,6.7191,7.1837,6.7191,7.1122,9389399
2010-07-01,7.0943,7.1837,6.9692,7.1479,2764088
2010-07-02,7.1479,7.3802,7.1122,7.1122,16418498
2010-07-05,7.1479,7.2373,7.005,7.0586,5310343
2010-07-06,7.0765,7.2909,7.0765,7.1479,15726480
2010-07-07,7.1837,7.3981,7.0943,7.3624,17344288
2010-07-08,7.5053,7.5768,7.2194,7.2194,14149847
2010-07-09,7.3266,7.3624,7.2194,7.2552,4178674
2010-07-12,7.2552,7.3624,7.1658,7.1658,7517895
2010-07-13,7.1479,7.2373,7.0586,7.1122,6206912
2010-07-14,7.1658,7.4339,7.1658,7.2909,8826221
2010-07-15,7.2909,7.7913,7.2373,7.684,24506212
2010-07-16,7.684,7.8627,7.5053,7.5232,9915386
2010-07-19,7.4339,7.6126,7.416,7.4696,4458935
2010-07-20,7.4696,7.5053,7.273,7.3802,5836330
2010-07-21,7.3624,7.6483,7.3624,7.4517,5597245
2010-07-22,7.4875,7.7376,7.4875,7.6662,10020318
2010-07-23,7.7198,7.8627,7.5947,7.8091,13623860
2010-07-26,7.8985,7.9699,7.7376,7.7555,6119247
2010-07-27,7.7555,7.8091,7.6483,7.6483,3412274
2010-07-28,7.684,7.7734,7.5947,7.7198,3219678
2010-07-29,7.7913,7.8091,7.6304,7.7198,2988562
2010-07-30,7.7734,7.7913,7.6483,7.7198,3785512
2010-08-02,7.7913,8.0236,7.7913,7.97,6796655
2010-08-03,8.0057,8.0593,7.8091,7.827,3692535
2010-08-04,7.8985,8.0414,7.8091,7.8806,7025114
2010-08-05,7.9342,8.0593,7.6483,7.7019,5739368
2010-08-06,7.7019,7.8091,7.684,7.7913,2603370
2010-08-09,7.7555,7.8449,7.7555,7.7734,3262182
2010-08-10,7.7734,8.0772,7.7734,7.8806,7954889
2010-08-11,8.0414,8.4167,7.9521,8.0593,30945568
2010-08-12,7.9699,8.0236,7.6304,7.684,15181897
2010-08-13,7.684,7.8091,7.6662,7.7555,3498610
2010-08-16,7.7734,7.9521,7.7555,7.8627,4120231
2010-08-17,7.97,8.1486,7.7198,7.7198,6536318
2010-08-18,7.8627,7.8627,7.5768,7.7555,5487000
2010-08-19,7.684,7.7913,7.5768,7.6126,3286090
2010-08-20,7.6304,7.9163,7.6304,7.8806,6189645
2010-08-23,7.8985,7.8985,7.7376,7.7555,2251383
2010-08-24,7.7198,7.8627,7.5053,7.5232,4591760
2010-08-25,7.3981,7.3981,7.1479,7.1479,7398352
2010-08-26,7.1301,7.2909,7.005,7.005,3716443
2010-08-27,7.0407,7.273,7.0228,7.273,3806764
2010-08-30,7.3088,7.3088,7.1479,7.1479,2538285
2010-08-31,7.2194,7.3266,6.9514,7.3266,4372599
2010-09-01,7.3266,7.3981,7.2015,7.273,2311155
2010-09-02,7.3624,7.4339,7.2909,7.3088,2552896
2010-09-03,7.4339,7.4517,7.3802,7.416,2898241
2010-09-06,7.5053,7.5947,7.4517,7.5589,2331078
2010-09-07,7.5589,7.6483,7.5232,7.5768,3175845
2010-09-08,7.5053,7.5768,7.3088,7.3802,2163719
2010-09-09,7.5232,7.5232,7.005,7.2015,6507096
2010-09-10,7.3266,7.3266,7.1837,7.2015,4866708
2010-09-13,7.3088,7.7019,7.273,7.7019,9810454
2010-09-14,7.7913,7.8627,7.6662,7.7198,4783028
2010-09-15,7.7913,7.9342,7.7555,7.9342,6868380
2010-09-16,7.9521,7.9521,7.8091,7.8627,3554397
2010-09-17,7.8627,8.1129,7.8449,7.8627,6561555
2010-09-20,7.9163,7.9878,7.8449,7.8449,2025581
2010-09-21,7.8627,7.8985,7.5947,7.6662,2789325
2010-09-23,7.7913,7.8091,7.684,7.7376,2179658
2010-09-24,7.7913,7.9163,7.7376,7.8627,5603886
2010-09-27,7.9699,7.9699,7.7555,7.7734,2211536
2010-09-28,7.7734,7.7913,7.5589,7.6483,2956684
2010-09-29,7.7019,7.8627,7.7019,7.8627,4712631
2010-09-30,7.8627,7.8627,7.684,7.7734,2058787
2010-10-01,7.827,7.827,7.7555,7.8091,944385
2010-10-04,7.8091,7.8806,7.7913,7.827,1405288
2010-10-05,7.8091,8.1486,7.8091,8.0057,7161924
2010-10-06,8.0593,8.1308,8.0414,8.0414,5472390
2010-10-07,8.0593,8.1486,7.97,8.1129,4145468
2010-10-08,8.1486,8.1486,7.9699,8.0057,1914008
2010-10-11,7.8627,8.0772,7.8627,7.8627,2803935
2010-10-12,7.8806,7.9163,7.5947,7.6304,2171688
2010-10-13,7.6304,7.6662,7.5411,7.6662,3939589
2010-10-14,7.684,7.8985,7.684,7.8627,2849096
2010-10-15,7.8985,7.9342,7.7376,7.827,1005485
2010-10-18,7.827,7.8627,7.5589,7.5947,1806420
2010-10-19,7.5768,7.7198,7.5768,7.6483,1674923
2010-10-20,7.5768,7.7198,7.4875,7.5768,4627623
2010-10-21,7.6126,7.684,7.5232,7.6483,2710958
2010-10-22,7.6483,7.7198,7.5768,7.684,1591243
2010-10-25,7.7198,7.8806,7.7198,7.8627,2345689
2010-10-26,7.8985,7.9521,7.827,7.8627,1953855
2010-10-27,7.8627,8.0414,7.8449,7.8449,3939589
2010-10-28,8.0236,8.1486,7.8985,8.1486,9570041
2010-10-29,8.1844,8.2559,7.9878,8.0414,3600885
2010-11-01,8.0593,8.2737,8.0593,8.2559,6346378
2010-11-02,8.2916,8.3095,8.1844,8.2737,4953044
2010-11-03,8.3095,8.3273,8.095,8.1308,2365613
2010-11-04,8.2559,8.2559,8.1308,8.2201,2134497
2010-11-05,8.2916,8.3095,7.9342,8.0057,3307342
2010-11-08,8.0057,8.1129,7.9521,8.095,2004329
2010-11-09,8.1308,8.2201,8.0236,8.0414,1528815
2010-11-10,8.0414,8.1129,7.9521,8.0236,1038691
2010-11-11,7.8985,8.1486,7.8985,8.0236,3250227
2010-11-12,7.97,8.0414,7.827,7.8627,1900725
2010-11-15,7.8627,7.8627,7.6483,7.6662,1289730
2010-11-16,7.684,7.684,7.5053,7.5947,2154421
2010-11-17,7.4696,7.5947,7.4696,7.5768,1890099
2010-11-18,7.5053,7.7555,7.5053,7.684,3546427
2010-11-19,7.684,7.827,7.5768,7.5768,2748149
2010-11-22,7.7198,8.0772,7.5947,8.0057,4121559
2010-11-23,8.1486,8.2201,7.9342,7.9521,5736711
2010-11-24,7.7913,8.0772,7.7913,7.97,2177001
2010-11-25,8.0414,8.0414,7.9342,7.9342,727881
2010-11-26,7.9699,7.9699,7.7555,7.7913,1844939
2010-11-29,7.8091,8.0414,7.8091,8.0236,2791981
2010-11-30,8.0593,8.1308,8.0236,8.1129,3340548
2010-12-01,8.1129,8.238,8.0772,8.238,5052663
2010-12-02,8.2916,8.381,8.2559,8.3273,4472217
2010-12-03,8.2916,8.3631,8.095,8.1308,2947386
2010-12-06,8.1308,8.2023,8.095,8.1844,1066584
2010-12-07,8.2023,8.2916,8.1486,8.2916,1795794
2010-12-08,8.3273,8.3631,8.2201,8.3631,3380396
2010-12-09,8.3988,8.5597,8.3452,8.5418,4029910
2010-12-10,8.5418,8.5418,8.3095,8.4346,1500922
2010-12-13,8.4346,8.4703,8.3631,8.3631,923133
2010-12-14,8.3631,8.506,8.1844,8.3631,1550067
2010-12-15,8.2916,8.4703,8.2023,8.3988,2210208
2010-12-16,8.3988,8.3988,8.2737,8.3452,1207379
2010-12-17,8.3452,8.4703,8.3452,8.4524,1556709
2010-12-20,8.4703,8.5418,8.3988,8.5239,2457262
2010-12-21,8.5239,8.5775,8.4703,8.5775,2263338
2010-12-22,8.649,8.7741,8.5597,8.6669,4581134
2010-12-23,8.7026,8.7562,8.5954,8.6133,1287074
2010-12-24,8.6133,8.6669,8.506,8.5239,880629
2010-12-27,8.649,8.649,8.5239,8.5597,1340204
2010-12-28,8.5954,8.649,8.4346,8.5775,1229959
2010-12-29,8.5775,8.8634,8.5239,8.8277,3203739
2010-12-30,8.8634,9.2566,8.8277,9.0957,6940106
2010-12-31,9.1136,9.2923,9.1136,9.1672,3792153
2011-01-03,9.2566,9.3281,9.1315,9.2387,4027254
2011-01-04,9.3281,9.3459,9.1136,9.1136,2547583
2011-01-05,9.1136,9.1672,8.649,8.7026,3203739
2011-01-06,8.7026,8.9349,8.7026,8.9349,3275464
2011-01-07,9.0064,9.0779,8.5775,8.6669,2300529
2011-01-10,8.7384,8.8098,8.6133,8.8098,2308498
2011-01-11,8.8098,9.0243,8.7562,8.9349,2365613
2011-01-12,9.1136,9.1136,8.8277,8.8992,1195425
2011-01-13,8.9349,8.9707,8.8277,8.8992,1526159
2011-01-14,8.8992,8.9349,8.792,8.8634,1406616
2011-01-17,8.8634,8.8813,8.5418,8.6847,2422728
2011-01-18,8.5775,8.7741,8.4703,8.7741,2438667
2011-01-19,8.6133,8.8277,8.5954,8.8098,2165047
2011-01-20,8.7562,8.7562,8.649,8.6669,771713
2011-01-21,8.5954,8.5954,8.4346,8.5597,2640561
2011-01-24,8.5418,8.5775,8.4346,8.4703,889927
2011-01-25,8.506,8.5775,8.4703,8.5775,1199409
2011-01-26,8.5418,8.792,8.5418,8.7026,2352330
2011-01-27,8.7562,8.7562,8.6669,8.6847,965637
2011-01-28,8.6847,8.7384,8.5775,8.6847,1799778
2011-02-08,8.792,8.792,8.381,8.4703,3248899
2011-02-09,8.4703,8.5239,8.3988,8.3988,1641717
2011-02-10,8.2559,8.3988,7.827,7.827,2656500
2011-02-11,7.97,8.0057,7.5589,7.5768,4490813
2011-02-14,7.6126,7.7555,7.5053,7.5232,5550756
2011-02-15,7.5232,7.684,7.4339,7.684,3818718
2011-02-16,7.9878,8.2201,7.8449,7.9878,8188661
2011-02-17,8.0057,8.0057,7.7019,7.7198,5480359
2011-02-18,7.9342,8.0236,7.7913,7.7913,4994220
2011-02-21,7.8627,7.97,7.8091,7.8449,3879818
2011-02-22,7.7913,7.7913,7.3981,7.5053,8448998
2011-02-23,7.4696,7.5232,7.2909,7.2909,3218349
2011-02-24,7.2909,7.4339,7.2552,7.2909,2967310
2011-02-25,7.2909,7.3624,7.1837,7.2552,4045849
2011-03-01,7.2552,7.5053,7.2552,7.3981,2830500
2011-03-02,7.3802,7.3802,7.1658,7.1658,8308203
2011-03-03,7.1837,7.3088,7.1837,7.2909,3093494
2011-03-04,7.3802,7.416,7.3088,7.3266,2417415
2011-03-07,7.3445,7.3445,7.2015,7.2373,2584774
2011-03-08,7.2552,7.3088,7.2194,7.2373,3491969
2011-03-09,7.3266,7.3445,7.2015,7.2015,3353831
2011-03-10,7.2194,7.2373,7.1837,7.2015,2373582
2011-03-11,7.2194,7.2552,7.1837,7.2015,3207723
2011-03-14,7.2373,7.2552,7.005,7.0765,3580962
2011-03-15,7.0765,7.1122,6.594,6.6833,8199287
2011-03-16,7.005,7.0765,6.8263,6.8263,3414930
2011-03-17,6.8084,6.9156,6.7548,6.862,1847595
2011-03-18,6.9514,6.9871,6.862,6.9335,2424056
2011-03-21,6.9692,7.005,6.8978,6.9335,3777543
2011-03-22,6.9692,7.0228,6.9335,6.9514,5579978
2011-03-23,6.9692,7.0407,6.9514,7.0228,2947386
2011-03-24,7.0228,7.273,7.0228,7.2373,3919665
2011-03-25,7.3088,7.3266,7.2015,7.3266,4342049
2011-03-28,7.2909,7.3802,7.2015,7.273,3493297
2011-03-29,7.273,7.3445,7.273,7.3266,4112262
2011-03-30,7.3266,7.3624,7.2909,7.3445,3230304
2011-03-31,7.3624,7.3802,7.2909,7.3624,2746821
2011-04-01,7.3266,7.3266,7.2194,7.2373,2424056
2011-04-06,7.2552,7.3624,7.2373,7.3088,3757619
2011-04-07,7.3088,7.5768,7.3088,7.5411,3715115
2011-04-08,7.5411,7.8806,7.5053,7.8449,6499127
2011-04-11,7.8449,7.8449,7.684,7.7734,1961825
2011-04-12,7.7555,7.8091,7.7198,7.7376,3073570
2011-04-13,7.7376,7.9342,7.7376,7.9342,5865552
2011-04-14,7.9163,8.0057,7.9163,7.9878,3442824
2011-04-15,7.97,7.97,7.7913,7.8627,1740007
2011-04-18,7.9342,7.9342,7.8091,7.9342,1455762
2011-04-19,7.9163,7.9163,7.7555,7.8985,1894084
2011-04-20,7.9699,8.0057,7.8985,7.9878,3264838
2011-04-21,8.0414,8.0772,7.9521,8.0057,3400320
2011-04-22,8.0057,8.1129,7.9878,7.9878,2365613
2011-04-25,8.0772,8.2559,8.0057,8.1129,5275809
2011-04-26,8.095,8.2201,8.0414,8.095,2602041
2011-04-27,8.2023,8.2023,8.0593,8.1129,5525520
2011-04-28,8.1486,8.1665,7.97,8.0414,1891428
2011-04-29,7.97,8.0414,7.684,7.827,6274653
2011-05-03,7.827,7.827,7.684,7.7734,1840954
2011-05-04,7.6662,7.7555,7.6304,7.684,5619825
2011-05-05,7.684,7.7555,7.6304,7.684,2898241
2011-05-06,7.7555,7.9342,7.7376,7.827,3379068
2011-05-09,7.9342,8.1308,7.8985,8.0772,4287591
2011-05-10,8.095,8.1486,8.0593,8.095,1762587
2011-05-11,8.1129,8.1844,8.0772,8.095,2570163
2011-05-12,8.095,8.1129,7.97,8.0414,1908695
2011-05-13,8.0414,8.1486,7.9342,7.9521,2627278
2011-05-16,8.0057,8.1129,7.9521,7.9521,1341532
2011-05-17,7.9342,7.97,7.8627,7.8806,1386693
2011-05-18,7.8627,7.9342,7.8449,7.8627,1435838
2011-05-19,7.8627,8.0057,7.8627,7.9163,2625950
2011-05-20,7.9163,7.9521,7.827,7.8627,2153093
2011-05-23,7.7019,7.7019,7.5053,7.5589,3224991
2011-05-24,7.5053,7.6483,7.416,7.5411,1753290
2011-05-25,7.5053,7.5411,7.2194,7.273,5099151
2011-05-26,7.273,7.4339,7.273,7.3802,1920649
2011-05-27,7.4339,7.4696,7.416,7.4339,746476
2011-05-30,7.4339,7.5589,7.3802,7.3802,1029393
2011-05-31,7.6126,7.8806,7.5768,7.8806,4551912
2011-06-01,8.0057,8.1129,8.0057,8.095,5067273
2011-06-02,7.9699,8.1486,7.9699,8.0772,3461419
2011-06-03,8.0772,8.1129,8.0236,8.095,1766572
2011-06-07,8.0772,8.1486,7.9878,8.0057,1401303
2011-06-08,7.9342,8.0057,7.8091,7.8091,1732038
2011-06-09,7.7555,7.8627,7.7555,7.8627,958996
2011-06-10,8.0057,8.0236,7.6304,7.684,1621793
2011-06-13,7.5232,7.6483,7.4339,7.4696,1721412
2011-06-14,7.4696,7.5768,7.4517,7.5053,1736022
2011-06-15,7.5411,7.5947,7.3981,7.5053,4213209
2011-06-16,7.416,7.416,7.2909,7.3266,1957840
2011-06-17,7.3981,7.4517,7.3266,7.3266,735850
2011-06-20,7.4696,7.4696,7.2909,7.3981,893912
2011-06-21,7.4696,7.5411,7.3802,7.4339,1384036
2011-06-22,7.4696,7.5053,7.3445,7.3981,1119714
2011-06-23,7.3981,7.3981,7.1837,7.2194,2514377
2011-06-24,7.2552,7.416,7.2552,7.416,2341704
2011-06-27,7.273,7.4339,7.273,7.4339,2336391
2011-06-28,7.5411,7.5589,7.4696,7.5053,2109261
2011-06-29,7.5411,7.7913,7.4517,7.7019,3813405
2011-06-30,7.8449,7.8449,7.684,7.7734,3292731
2011-07-01,7.827,7.8449,7.7198,7.7913,1544754
2011-07-04,7.7913,7.7913,7.6662,7.6662,1482327
2011-07-05,7.6662,7.7555,7.6126,7.7019,1054630
2011-07-06,7.7555,7.7913,7.5768,7.6483,2137154
2011-07-07,7.7019,7.7376,7.6126,7.7198,1235272
2011-07-08,7.7198,7.827,7.684,7.7376,1551396
2011-07-11,7.684,7.7555,7.6126,7.7555,548567
2011-07-12,7.6483,7.7198,7.4696,7.6483,1394662
2011-07-13,7.6304,7.6304,7.4339,7.4875,1022752
2011-07-14,7.4875,7.5768,7.2552,7.3266,1232616
2011-07-15,7.3266,7.4875,7.2909,7.3981,2036207
2011-07-18,7.3266,7.3802,7.3266,7.3624,1382708
2011-07-19,7.2909,7.3266,7.2909,7.2909,1168860
2011-07-20,7.3266,7.3624,7.2552,7.273,2915508
2011-07-21,7.2194,7.3088,7.1658,7.2194,2871676
2011-07-22,7.1837,7.3088,7.1837,7.2194,3089509
2011-07-25,7.2194,7.2552,7.1837,7.2194,1255196
2011-07-26,7.3088,7.4339,7.273,7.3802,3936933
2011-07-27,7.3981,7.4339,7.273,7.3802,2963325
2011-07-28,7.3624,7.3624,7.2552,7.3088,3352503
2011-07-29,7.2552,7.3624,7.2194,7.2373,3907711
2011-08-01,7.2909,7.5053,7.2909,7.4339,4266339
2011-08-02,7.3445,7.3802,7.1837,7.2015,3906383
2011-08-03,7.2015,7.2015,7.0228,7.0765,2471873
2011-08-04,7.0943,7.1837,6.9692,7.1658,4153437
2011-08-05,6.9692,7.005,6.6655,6.6655,4909212
2011-08-08,6.4689,6.4689,6.2008,6.2008,6343722
2011-08-09,5.7951,6.1561,5.7951,6.0157,12806860
2011-08-10,6.4168,6.4168,6.0959,6.2563,6097300
2011-08-11,6.136,6.3365,6.0759,6.3165,2794385
2011-08-12,6.6975,6.6975,6.2162,6.2162,3587540
2011-08-15,6.3967,6.4569,6.2964,6.4569,1609080
2011-08-16,6.497,6.5571,6.3767,6.4569,2085985
2011-08-17,6.5772,6.5772,6.4368,6.4769,1540770
2011-08-18,6.4769,6.4769,6.2764,6.4168,2337720
2011-08-19,6.2162,6.3566,6.1761,6.3165,2228930
2011-08-22,6.2764,6.4168,6.1761,6.3566,1688775
2011-08-23,6.4168,6.7376,6.3767,6.6574,1889910
2011-08-24,6.7376,6.7376,6.2964,6.4168,4182090
2011-08-25,6.4569,6.497,6.2563,6.2563,2882935
2011-08-26,6.2563,6.3767,6.2162,6.2363,2012615
2011-08-29,6.2363,6.4569,6.2363,6.3767,1087900
2011-08-30,6.4168,6.4168,6.2563,6.2563,1679920
2011-08-31,6.2563,6.5371,6.2162,6.5371,2218810
2011-09-01,6.5772,6.6373,6.4368,6.4569,1519265
2011-09-02,6.5571,6.5571,6.3365,6.3767,1246025
2011-09-05,6.2162,6.2162,6.0759,6.0959,3285205
2011-09-06,6.0558,6.1761,5.9355,6.0157,2680535
2011-09-07,6.0959,6.116,6.0157,6.0558,1265000
2011-09-08,6.0558,6.1561,5.9756,6.0358,2929740
2011-09-09,6.0959,6.1561,5.9957,6.0358,1930390
2011-09-13,6.0358,6.0358,5.8152,5.8352,3061300
2011-09-14,5.8553,5.9756,5.6147,5.6347,3316830
2011-09-15,5.6949,5.8753,5.6748,5.735,2831070
2011-09-16,5.8152,6.136,5.8152,6.136,3607780
2011-09-19,6.2563,6.2563,5.9957,6.0558,1549625
2011-09-20,5.9957,6.0959,5.8753,5.8954,1530650
2011-09-21,5.9355,6.0157,5.8954,5.9756,1692570
2011-09-22,5.8954,5.8954,5.6748,5.7149,3282675
2011-09-23,5.5746,5.6548,5.5345,5.6147,2380730
2011-09-26,5.735,5.735,5.6949,5.6949,9233235
2011-09-27,5.7751,5.8553,5.6949,5.8553,1859550
2011-09-28,5.8553,5.9556,5.7751,5.9154,2304830
2011-09-29,5.8954,5.9957,5.8352,5.8352,2067010
