Date,Open,High,Low,Close,Volume
2010-01-04,6.1786,6.2558,6.1477,6.1786,46467583
2010-01-05,6.2404,6.2713,6.1631,6.1786,39042249
2010-01-06,6.2095,6.3639,6.1786,6.3639,89444667
2010-01-07,6.3948,6.4566,6.2867,6.3022,87882911
2010-01-08,6.3331,6.3948,6.2867,6.3331,45820829
2010-01-11,6.3331,6.3639,6.3022,6.3022,39137699
2010-01-12,6.3331,6.3485,6.2404,6.2558,48950923
2010-01-13,6.2095,6.2404,6.1477,6.1631,38016987
2010-01-14,6.1168,6.194,6.1014,6.1168,49191193
2010-01-15,6.1477,6.194,6.1014,6.1168,48633306
2010-01-18,6.0705,6.1323,6.0705,6.0859,30930664
2010-01-19,6.1168,6.1631,6.0241,6.0241,38953382
2010-01-20,6.0396,6.0705,5.8697,5.8697,80666579
2010-01-21,5.8697,5.9469,5.8542,5.8851,39715334
2010-01-22,5.8079,5.8233,5.7461,5.7615,66716101
2010-01-25,5.6997,5.7615,5.6534,5.6997,49224107
2010-01-26,5.6997,5.7306,5.4063,5.4526,81545375
2010-01-27,5.4989,5.5144,5.4063,5.4217,57673058
2010-01-28,5.4989,5.5916,5.4372,5.5298,31215367
2010-01-29,5.5144,5.5144,5.2827,5.4063,79838799
2010-02-01,5.5144,5.5144,5.2672,5.2827,57793193
2010-02-02,5.329,5.3599,5.1128,5.19,85315642
2010-02-03,5.3136,5.3136,5.1437,5.2209,55579745
2010-02-04,5.2364,5.2827,5.2055,5.2055,34054175
2010-02-05,5.0664,5.0664,4.8502,4.9429,118713189
2010-02-08,4.912,5.051,4.8811,5.0047,43451041
2010-02-09,4.9583,5.0819,4.8965,5.0201,134936359
2010-02-10,5.1128,5.2518,5.0973,5.19,83678184
2010-02-22,5.3754,5.5453,5.3136,5.5453,84066566
2010-02-23,5.5916,5.6071,5.4989,5.5298,78673654
2010-02-24,5.4835,5.6534,5.4372,5.5607,68337101
2010-02-25,5.6225,5.638,5.4063,5.4063,88982230
2010-02-26,5.4526,5.5298,5.3599,5.3754,48886741
2010-03-01,5.4681,5.6534,5.4063,5.5607,111691048
2010-03-02,5.6071,5.6225,5.5607,5.5607,49938334
2010-03-03,5.6534,5.7615,5.6534,5.6843,59898025
2010-03-04,5.777,5.777,5.5607,5.5607,68661302
2010-03-05,5.6843,5.777,5.6534,5.6997,74715780
