Date,Open,High,Low,Close,Volume
2010-01-04,6.517,6.5492,6.4202,6.4363,7876816
2010-01-05,6.517,6.5331,6.4524,6.4847,7861425
2010-01-06,6.5008,6.6137,6.4363,6.5976,11899881
2010-01-07,6.5976,6.6299,6.5331,6.5976,12744512
2010-01-08,6.5976,6.6299,6.5492,6.5815,9700759
2010-01-11,6.5815,6.5815,6.5331,6.5492,7409287
2010-01-12,6.5976,6.6137,6.4686,6.5654,6185629
2010-01-13,6.4847,6.5492,6.404,6.4363,7847957
2010-01-14,6.4847,6.5008,6.4363,6.4363,7026413
2010-01-15,6.4363,6.4847,6.4363,6.4524,6099049
2010-01-18,6.404,6.4524,6.404,6.4202,4100023
2010-01-19,6.4363,6.4847,6.3718,6.4363,9029287
2010-01-20,6.404,6.4524,6.3073,6.3073,13421757
2010-01-21,6.2911,6.3556,6.2911,6.3395,6847482
2010-01-22,6.2427,6.2911,6.1782,6.1943,12111519
2010-01-25,6.1298,6.1782,6.0814,6.1782,11832541
2010-01-26,6.1298,6.1621,5.904,5.9362,21762256
2010-01-27,5.9685,6.033,5.904,5.9524,7480474
2010-01-28,5.9685,6.0492,5.9524,5.9685,7272683
2010-01-29,5.9685,5.9846,5.8556,5.9846,10868622
2010-02-01,5.9846,6.0169,5.8878,5.9201,8548289
2010-02-02,5.9685,6.0008,5.8072,5.8395,11449667
2010-02-03,5.8717,5.9685,5.8395,5.9524,5290973
2010-02-04,6.0008,6.0814,5.9362,6.033,9502588
2010-02-05,5.9524,5.9524,5.8072,5.8072,20009500
2010-02-08,5.8717,5.8717,5.7911,5.8556,9392921
2010-02-09,5.8233,5.9362,5.7911,5.904,6780142
2010-02-10,5.9524,5.9524,5.8556,5.8878,10189453
2010-02-22,6.0975,6.2911,6.0653,6.2911,18772374
2010-02-23,6.3556,6.4847,6.3395,6.3395,39264797
2010-02-24,6.3234,6.4363,6.275,6.3556,17136983
2010-02-25,6.4363,6.4363,6.1943,6.2266,17537173
2010-02-26,6.3395,6.5331,6.3073,6.4524,24721353
2010-03-01,6.404,6.4524,6.2589,6.3395,25502493
2010-03-02,6.3556,6.3879,6.2589,6.2911,9985510
2010-03-03,6.3395,6.4363,6.3234,6.4202,11959524
2010-03-04,6.4202,6.4202,6.2105,6.2911,10624275
2010-03-05,6.3718,6.4202,6.2911,6.3395,11441971
2010-03-08,6.3879,6.3879,6.3073,6.3234,5321757
2010-03-09,6.2911,6.3879,6.2911,6.3556,5527624
2010-03-10,6.3718,6.3879,6.3234,6.3879,5194774
2010-03-11,6.3879,6.3879,6.2911,6.3073,3869144
2010-03-12,6.2911,6.3718,6.275,6.3718,4979287
2010-03-15,6.3556,6.3556,6.2105,6.2105,7461235
2010-03-16,6.2105,6.3073,6.2105,6.2589,2818646
2010-03-17,6.3395,6.4524,6.2911,6.4363,15082161
2010-03-18,6.4524,6.517,6.4202,6.4847,10808978
2010-03-19,6.5008,6.517,6.4202,6.4847,7478550
2010-03-22,6.4847,6.4847,6.3234,6.3718,6489619
2010-03-23,6.3556,6.3879,6.2911,6.3395,5854702
2010-03-24,6.3879,6.3879,6.2911,6.2911,7270759
2010-03-25,6.2911,6.3234,6.1943,6.2911,9446793
2010-03-26,6.2266,6.3395,6.1621,6.3073,13339025
2010-03-29,6.3234,6.3395,6.2911,6.2911,9689215
2010-03-30,6.3234,6.3395,6.275,6.3395,8242375
2010-03-31,6.3395,6.3395,6.2589,6.275,4496365
2010-04-01,6.2911,6.4363,6.2589,6.4363,14343348
2010-04-02,6.4363,6.4363,6.3556,6.4202,6443444
2010-04-06,6.4202,6.4847,6.404,6.4202,9217838
2010-04-07,6.4202,6.4524,6.3879,6.4524,6474227
2010-04-08,6.3879,6.517,6.3718,6.4363,10959049
2010-04-09,6.4363,6.4524,6.404,6.404,7884512
2010-04-12,6.404,6.4686,6.3879,6.4202,6653159
2010-04-13,6.3879,6.3879,6.2911,6.2911,4823444
2010-04-14,6.3556,6.3556,6.2427,6.3556,5412185
2010-04-15,6.3879,6.3879,6.3234,6.3556,5377553
2010-04-16,6.3395,6.3395,6.2427,6.3234,5160142
2010-04-19,6.2266,6.275,6.033,6.0653,13542968
2010-04-20,6.0975,6.1137,6.0169,6.0169,11742113
2010-04-21,6.033,6.0814,6.0008,6.033,11316911
2010-04-22,6.0008,6.0008,5.8395,5.9524,12398194
2010-04-23,6.0008,6.0008,5.904,5.9685,8507885
2010-04-26,6.0169,6.1943,6.0169,6.1782,15003277
2010-04-27,6.1782,6.1782,6.1137,6.1621,3036056
2010-04-28,5.9846,6.0653,5.9685,6.0008,8086531
2010-04-29,6.033,6.033,5.9685,5.9685,6962921
2010-04-30,5.9685,6.1137,5.9685,5.9685,11767125
2010-05-03,5.9685,5.9846,5.9201,5.9362,7330403
2010-05-04,5.9524,5.9846,5.8717,5.904,7388123
2010-05-05,5.8072,5.8072,5.7427,5.7427,14787790
2010-05-06,5.7265,5.7588,5.6459,5.6459,16632897
2010-05-07,5.5168,5.6297,5.5168,5.5814,11855629
2010-05-10,5.5814,5.662,5.5814,5.6459,10297196
2010-05-11,5.6781,5.6781,5.5652,5.5652,17542945
2010-05-12,5.662,5.6943,5.6297,5.6459,13023491
2010-05-13,5.7427,5.8717,5.7104,5.8395,15915249
2010-05-14,5.7911,5.8395,5.7427,5.8233,7678645
2010-05-17,5.7588,5.7911,5.662,5.7911,8748384
2010-05-18,5.7911,5.8072,5.7427,5.7749,7638242
2010-05-19,5.7104,5.7749,5.6781,5.7265,7064892
2010-05-20,5.7427,5.7749,5.6459,5.6459,6374180
2010-05-21,5.5491,5.5975,5.5168,5.5491,10772422
2010-05-24,5.6459,5.662,5.5491,5.6297,7172636
2010-05-25,5.5491,5.5652,5.4523,5.5168,10722398
2010-05-26,5.5168,5.8717,5.4846,5.7427,35349476
2010-05-27,5.7911,5.7911,5.6136,5.6943,8821496
2010-05-28,5.7749,5.7749,5.6459,5.6943,10566555
2010-05-31,5.7427,5.7911,5.6781,5.7911,7305391
2010-06-01,5.7427,5.7588,5.662,5.6781,4338598
2010-06-02,5.6459,5.7265,5.5491,5.6297,5618052
2010-06-03,5.6781,5.7588,5.662,5.7265,5446816
2010-06-04,5.7427,5.7749,5.6943,5.7427,3145724
2010-06-07,5.5814,5.6136,5.533,5.5491,8484797
2010-06-08,5.5652,5.6781,5.5491,5.6297,5044702
2010-06-09,5.6459,5.7265,5.5168,5.5491,7340023
2010-06-10,5.5491,5.6943,5.5491,5.6459,5215938
2010-06-11,5.7427,5.8072,5.7265,5.7911,6570427
2010-06-14,5.8717,5.9362,5.8717,5.8878,8781092
2010-06-15,5.8878,6.1298,5.8395,6.0169,11297671
2010-06-17,6.0492,6.0975,5.9685,6.0653,16815676
2010-06-18,6.0492,6.0814,5.9846,6.033,6276056
2010-06-21,6.1621,6.2589,6.1298,6.2427,20259619
2010-06-22,6.2427,6.2427,6.1782,6.1782,6122137
2010-06-23,6.1782,6.2427,6.1298,6.2266,4419406
2010-06-24,6.2266,6.2266,6.1459,6.1621,5319833
2010-06-25,6.1137,6.2911,6.1137,6.1459,12769524
2010-06-28,6.1943,6.3395,6.1621,6.2911,12669477
2010-06-29,6.2911,6.3234,6.0814,6.0814,11440047
2010-06-30,5.9846,6.0008,5.904,5.9846,10893633
2010-07-01,5.9846,6.0814,5.9524,5.9524,4748408
2010-07-02,5.9524,6.2266,5.9362,6.1298,15955652
2010-07-05,6.1782,6.2911,6.0814,6.2589,13714204
2010-07-06,6.1621,6.3556,6.1459,6.3556,17017695
2010-07-07,6.2911,6.3556,6.2427,6.2911,5527624
2010-07-08,6.3073,6.3556,6.2911,6.3073,6928289
2010-07-09,6.3556,6.3556,6.2427,6.3234,3955724
2010-07-12,6.3234,6.3879,6.2427,6.2911,6399192
2010-07-13,6.2911,6.3073,6.2105,6.2589,5265961
2010-07-14,6.2911,6.3879,6.2911,6.3879,7543966
2010-07-15,6.3556,6.4847,6.3395,6.4363,11009073
2010-07-16,6.4847,6.5976,6.4202,6.4202,22705011
2010-07-19,6.3234,6.4686,6.3234,6.404,6637767
2010-07-20,6.4202,6.4847,6.3556,6.404,6857102
2010-07-21,6.4363,6.4686,6.3234,6.404,9364061
2010-07-22,6.4363,6.4847,6.3718,6.3879,6162541
2010-07-23,6.4202,6.5008,6.4202,6.4686,11018693
2010-07-26,6.517,6.517,6.4363,6.4524,10533847
2010-07-27,6.4524,6.4847,6.3879,6.4202,5581496
2010-07-28,6.4363,6.4847,6.404,6.4847,8469406
2010-07-29,6.5008,6.517,6.3879,6.4686,5466056
