Date,Open,High,Low,Close,Volume
2010-01-04,6.7708,6.901,6.6406,6.7708,14831653
2010-01-05,6.901,6.9878,6.6623,6.7274,13615706
2010-01-06,6.7274,6.8142,6.5972,6.684,10326228
2010-01-07,6.901,6.901,6.6406,6.6623,12720835
2010-01-08,6.7057,6.7274,6.467,6.5972,11586711
2010-01-11,6.5755,6.6406,6.5104,6.5538,6652493
2010-01-12,6.5538,6.6406,6.4887,6.6189,8861705
2010-01-13,6.5972,6.6623,6.5321,6.5755,6729137
2010-01-14,6.6189,6.7274,6.5755,6.5755,9405464
2010-01-15,6.6189,6.6623,6.5321,6.5321,7469684
2010-01-18,6.5321,6.7925,6.5321,6.6623,11468638
2010-01-19,6.7708,6.8576,6.6623,6.6623,10306549
2010-01-20,6.684,6.7708,6.5538,6.5972,5955447
2010-01-21,6.5972,6.5972,6.3585,6.3802,6142914
2010-01-22,6.25,6.2934,6.1198,6.1632,5678907
2010-01-25,6.0113,6.2066,6.0113,6.1198,3179691
2010-01-26,6.1415,6.2283,5.7074,5.7074,7176573
2010-01-27,5.7074,5.7726,5.5989,5.6423,3715163
2010-01-28,5.6857,5.9245,5.6857,5.8811,3574304
2010-01-29,5.8594,6.1632,5.7074,6.1632,9564966
2010-02-01,6.1632,6.3368,6.1198,6.3368,9745183
2010-02-02,6.4019,6.4019,5.9028,5.9462,7176573
2010-02-03,6.1849,6.1849,5.9462,6.0764,3636448
2010-02-04,6.1198,6.2283,6.033,6.033,3801129
2010-02-05,5.6423,5.8377,5.6206,5.6206,6140843
2010-02-08,5.3819,5.5338,5.3385,5.4253,2453644
2010-02-09,5.4253,5.6423,5.3602,5.5989,2546860
2010-02-10,5.664,5.7726,5.6423,5.6857,3382694
2010-02-22,5.816,5.816,5.6857,5.7074,2189533
2010-02-23,5.7074,5.7726,5.664,5.7074,1489379
2010-02-24,5.6423,5.8594,5.6206,5.8377,4302422
2010-02-25,5.8811,5.9679,5.816,5.816,7650937
2010-02-26,5.816,6.0764,5.6857,6.0764,7021213
2010-03-01,6.1198,6.1849,5.9896,6.1198,13053305
2010-03-02,6.1632,6.1632,6.033,6.033,3181762
2010-03-03,6.033,6.2066,6.033,6.0764,5172435
2010-03-04,6.1849,6.2934,6.033,6.2934,9072994
2010-03-05,6.3802,6.4019,6.2283,6.2283,12440153
2010-03-08,6.2283,6.2934,6.2066,6.2066,5538048
2010-03-09,6.2066,6.2066,6.0764,6.0764,4751929
2010-03-10,6.0981,6.2717,6.0981,6.1849,3517339
2010-03-11,6.2283,6.2934,6.1849,6.1849,5044005
2010-03-12,6.1849,6.2066,6.0764,6.0764,2610039
2010-03-15,6.1198,6.1632,5.9896,5.9896,2164675
2010-03-16,6.0981,6.25,6.0981,6.1198,4700142
2010-03-17,6.1415,6.3585,6.1415,6.25,8865848
2010-03-18,6.3151,6.3585,6.2717,6.2934,5645764
2010-03-19,6.3368,6.4019,6.3151,6.3585,5325723
2010-03-22,6.25,6.3802,6.25,6.2934,4360423
2010-03-23,6.3368,6.4236,6.2934,6.2934,6438097
2010-03-24,6.3585,6.4453,6.2934,6.4236,8391484
2010-03-25,6.4453,6.6623,6.3585,6.6189,12244400
