Date,Open,High,Low,Close,Volume
2010-01-04,5.9914,6.0216,5.9462,5.9612,29203372
2010-01-05,6.0367,6.0367,5.9612,6.0065,28165804
2010-01-06,6.0216,6.082,5.9763,6.082,59688558
2010-01-07,6.082,6.0971,5.9914,5.9914,38793302
2010-01-08,5.9763,6.0669,5.9763,6.0216,31384537
2010-01-11,5.9763,6.0216,5.9462,5.9612,41610640
2010-01-12,5.9763,6.0065,5.8858,5.8858,37091161
2010-01-13,5.8707,5.8707,5.7952,5.8103,24165109
2010-01-14,5.8103,5.8556,5.7952,5.8103,28798191
2010-01-15,5.8556,5.8707,5.8254,5.8405,22792414
2010-01-18,5.7801,5.8556,5.765,5.8405,13088881
2010-01-19,5.8556,5.8707,5.7801,5.7952,22033172
2010-01-20,5.8103,5.8254,5.7349,5.75,31948762
2010-01-21,5.7349,5.7801,5.7349,5.75,25443135
2010-01-22,5.6745,5.7047,5.5839,5.599,71162393
2010-01-25,5.5387,5.5839,5.5085,5.5236,33304416
2010-01-26,5.5538,5.5689,5.3727,5.3727,51437242
2010-01-27,5.3878,5.4481,5.3727,5.4179,20560128
2010-01-28,5.4934,5.4934,5.433,5.433,16248920
2010-01-29,5.3878,5.4179,5.3123,5.4028,28463064
2010-02-01,5.433,5.4481,5.2972,5.3274,22877616
2010-02-02,5.4028,5.4028,5.1916,5.2067,32662563
2010-02-03,5.2821,5.2972,5.1614,5.2821,28235859
2010-02-04,5.2972,5.2972,5.1765,5.1916,40497337
2010-02-05,5.0708,5.0708,4.8897,4.9199,74738973
2010-02-08,5.0105,5.0406,4.9652,4.9803,31585234
2010-02-09,4.9803,5.0557,4.935,5.0256,40184931
2010-02-10,5.0708,5.1161,5.0105,5.0406,41915473
2010-02-22,5.1312,5.3123,5.101,5.2519,59612823
2010-02-23,5.2067,5.267,5.1916,5.2368,27609153
2010-02-24,5.2217,5.267,5.1463,5.2067,33090465
2010-02-25,5.2368,5.2519,5.0859,5.1161,38153343
2010-02-26,5.1463,5.267,5.1463,5.2067,44225387
2010-03-01,5.2519,5.3576,5.2067,5.2821,34182941
2010-03-02,5.3425,5.3425,5.2972,5.3425,21529535
2010-03-03,5.3727,5.4632,5.3727,5.433,35871829
2010-03-04,5.433,5.4632,5.2821,5.2972,25922158
2010-03-05,5.3425,5.433,5.3274,5.3576,18742491
2010-03-08,5.433,5.433,5.3878,5.4028,17214539
2010-03-09,5.4028,5.433,5.3576,5.4028,18409257
2010-03-10,5.4179,5.433,5.3274,5.3576,22977964
2010-03-11,5.3576,5.3576,5.2519,5.267,35016025
2010-03-12,5.2821,5.3123,5.2519,5.267,15160231
2010-03-15,5.267,5.2821,5.1916,5.1916,18937508
2010-03-16,5.2067,5.2821,5.1916,5.2519,14563818
2010-03-17,5.2821,5.3576,5.2821,5.3425,29511992
2010-03-18,5.3727,5.433,5.3425,5.4179,28983741
2010-03-19,5.3727,5.4179,5.3576,5.4179,23542189
2010-03-22,5.4028,5.4028,5.3123,5.3274,17413344
2010-03-23,5.3274,5.3576,5.2821,5.2821,23322558
2010-03-24,5.3274,5.3576,5.2972,5.2972,16722263
2010-03-25,5.2821,5.3123,5.2368,5.267,26226991
2010-03-26,5.2368,5.3123,5.2067,5.267,21995304
2010-03-29,5.2972,5.3123,5.267,5.2972,26524251
2010-03-30,5.3123,5.3576,5.2972,5.3425,21942290
2010-03-31,5.3123,5.3274,5.267,5.267,26414435
2010-04-01,5.2821,5.3727,5.2821,5.3576,44980843
2010-04-02,5.4028,5.4028,5.3425,5.3727,14503230
2010-04-06,5.4028,5.433,5.3727,5.3878,25126942
2010-04-07,5.433,5.433,5.3878,5.4179,12791622
2010-04-08,5.4028,5.4934,5.3727,5.4179,32622802
2010-04-09,5.433,5.5085,5.433,5.4934,35061466
2010-04-12,5.5387,5.5538,5.4783,5.4934,26662467
2010-04-13,5.4632,5.4783,5.4179,5.4179,27620513
2010-04-14,5.433,5.4632,5.3727,5.4028,25761222
2010-04-15,5.4481,5.4632,5.3576,5.3727,46181241
2010-04-16,5.3727,5.4028,5.3274,5.3576,37547463
2010-04-19,5.267,5.2821,5.1312,5.1463,72211321
2010-04-20,5.2067,5.2067,5.1614,5.1614,34518068
2010-04-21,5.1765,5.2519,5.1765,5.2368,15105323
2010-04-22,5.2217,5.2217,5.1614,5.2067,26418222
2010-04-23,5.2368,5.2519,5.2067,5.2217,14474830
2010-04-26,5.2821,5.3576,5.267,5.3576,35724146
2010-04-27,5.3576,5.3878,5.3123,5.3878,24329832
2010-04-28,5.2217,5.2821,5.2217,5.2519,29383243
2010-04-29,5.2821,5.2821,5.2217,5.2368,20118972
2010-04-30,5.2821,5.3425,5.2368,5.2368,37950752
2010-05-03,5.2368,5.2821,5.2217,5.2368,23523256
2010-05-04,5.267,5.2821,5.1916,5.2067,27647020
2010-05-05,5.1312,5.1312,5.0859,5.101,34239742
2010-05-06,5.101,5.1161,5.0256,5.0256,43598681
2010-05-07,4.9199,4.9954,4.9199,4.9954,35419313
2010-05-10,5.0105,5.0708,4.9954,5.0708,20342390
2010-05-11,5.1161,5.1161,4.9803,4.9803,33590316
2010-05-12,5.0105,5.0708,4.9954,4.9954,18708410
2010-05-13,5.0859,5.2067,5.0708,5.1916,39887671
2010-05-14,5.1916,5.2067,5.1463,5.1916,20323457
2010-05-17,5.1312,5.1312,5.0406,5.0859,18570194
2010-05-18,5.101,5.1161,5.0557,5.0859,17157738
2010-05-19,5.0406,5.101,5.0406,5.0859,12782155
2010-05-20,5.101,5.101,5.0105,5.0105,20272336
2010-05-21,4.9199,4.935,4.8746,4.8746,44628675
2010-05-24,4.9048,4.9501,4.8897,4.935,15076922
2010-05-25,4.9199,4.9199,4.769,4.7841,40114876
2010-05-26,4.8445,4.9199,4.7992,4.8746,20200387
2010-05-27,4.8746,4.9199,4.8294,4.8897,17360329
2010-05-28,4.9652,4.9803,4.9048,4.9652,26759029
2010-05-31,4.9501,5.0256,4.935,5.0256,16398496
2010-06-01,4.9954,4.9954,4.8897,4.9048,21005071
2010-06-02,4.9501,4.9501,4.8595,4.8897,15114790
2010-06-03,4.9803,5.0406,4.9501,5.0256,23979558
2010-06-04,5.0105,5.0105,4.9501,4.9652,10801688
2010-06-07,4.8445,4.9199,4.8294,4.8897,25797196
2010-06-08,4.9048,4.9803,4.9048,4.9652,17551560
2010-06-09,4.9501,4.9501,4.8595,4.8746,19995903
2010-06-10,4.9652,4.9652,4.8746,4.9501,12833276
2010-06-11,5.0105,5.0708,4.9954,5.0105,20206068
2010-06-14,5.101,5.1312,5.0859,5.1161,20094359
2010-06-15,5.1161,5.1765,5.0708,5.1614,21387532
2010-06-17,5.1916,5.1916,5.1312,5.1614,21275823
2010-06-18,5.1463,5.1614,5.1161,5.1463,12075927
2010-06-21,5.1916,5.2519,5.1916,5.2368,40326934
